
U = 1.0
16 -24.243367477844   4
15 -24.674141815437   4
14 -25.111385225309   1
 
U = 2.0
16 -20.841720479468   4
15 -21.692226377443   4
14 -22.56041086123    1

U = 3.0
16 -17.789252701784   4
15 -19.049763593933   4
14 -20.333295148444   1

U = 4.0
16 -15.086552829676   2
15 -16.74516724259    4
14 -18.417605475478   1

U = 5.0
16 -12.742462561218   2
15 -14.77862219211    4
14 -16.800013262118   1

U = 6.0
16 -10.776947376843   2
15 -13.147130531873   4
14 -15.461750484058   1

U = 7.0
16 -9.4724859322292   1
15 -11.833626745538   4
14 -14.374208956475   1

U = 8.0
16 -8.5338321684768   1
15 -10.79809810077    4
14 -13.49945166844    1

U = 9.0
16 -7.7533971852891  1
15 -9.9846573590356  4
14 -12.796332306417  1

U = 10.0
16 -7.0975556870663  1
15 -9.3385474022263  4
14 -12.227224208029  1     

U = 11.0
16 -6.5402112732011  1
15 -8.8238077545526  1
14 -11.761411828192  1

U = 12.0
16 -6.0614682039782  1
15 -8.4191213376008  1
14 -11.375327069657  1
